# Wavelength (nm)	Intensity
394.35898	0.3
394.52991	0.2
394.70087	0.0
394.87180	0.0
395.04272	0.0
395.21368	0.0
395.38461	0.0
395.55554	0.0
395.72650	0.0
395.89743	0.1
396.06839	0.4
396.23932	1.0
396.41025	0.1
396.58121	0.1
396.75214	0.2
396.92307	0.5
397.09402	0.1
397.26495	0.0
397.43588	0.0
397.60684	0.0
397.77777	0.0
397.94873	0.0
398.11966	0.0
398.29059	0.0
398.46155	0.0
398.63248	0.0
398.80341	0.0
398.97437	0.0
399.14529	0.0
399.31625	0.0
399.48718	0.0
399.65811	0.0
399.82907	0.0
400.00000	0.0
400.17093	0.0
400.34189	0.0
400.51282	0.0
400.68375	0.0
400.85471	0.0
401.02563	0.0
401.19659	0.0
401.36752	0.0
401.53845	0.0
401.70941	0.0
401.88034	0.0
402.05127	0.0
402.22223	0.0
402.39316	0.1
402.56412	0.0
402.73505	0.0
402.90598	0.0
403.07693	0.0
403.24786	0.0
403.41879	0.0
403.58975	0.0
403.76068	0.0
403.93161	0.0
404.10257	0.1
404.27350	0.1
404.44446	0.0
404.61539	0.0
404.78632	0.1
404.95728	0.0
405.12820	0.0
405.29913	0.0
405.47009	0.0
405.64102	0.0
405.81195	0.0
405.98291	0.0
406.15384	0.0
406.32480	0.0
406.49573	0.0
406.66666	0.0
406.83762	0.0
407.00854	0.0
407.17947	0.0
407.35043	0.0
407.52136	0.0
407.69232	0.0
407.86325	0.0
408.03418	0.0
408.20514	0.0
408.37607	0.0
408.54700	0.0
408.71796	0.0
408.88889	0.0
409.05981	0.0
409.23077	0.0
409.40170	0.0
409.57266	0.0
409.74359	0.0
409.91452	0.0
410.08548	0.0
410.25641	0.0
410.42734	0.0
410.59830	0.0
410.76923	0.0
410.94019	0.0
411.11111	0.0
411.28204	0.0
